Date,LogRend_SIP500,LogRend_USD/MXN,Precio_SIP500,Precio_USD/MXN
5/10/2018 0:00,0.009327012,0.000951046,2723.070068,19.56719971
5/11/2018 0:00,0.001706139,-0.017024353,2727.719971,19.23690033
5/14/2018 0:00,0.0008831,0.00546923,2730.129883,19.3423996
5/15/2018 0:00,-0.006865655,0.012035374,2711.449951,19.57659912
5/16/2018 0:00,0.00405234,0.004729161,2722.459961,19.66939926
5/17/2018 0:00,-0.000856239,-0.005444553,2720.129883,19.56259918
5/18/2018 0:00,-0.002635665,0.009468087,2712.969971,19.74869919
5/21/2018 0:00,0.007359605,0.007121957,2733.01001,19.88985062
5/22/2018 0:00,-0.003140689,-0.003336396,2724.439941,19.82360077
5/23/2018 0:00,0.003243145,-0.003090033,2733.290039,19.76243973
5/24/2018 0:00,-0.002025263,-0.006500053,2727.76001,19.63439941
5/25/2018 0:00,-0.002360003,-0.003469264,2721.330078,19.56640053
5/29/2018 0:00,-0.011631573,0.001003743,2689.860107,19.58605003
5/30/2018 0:00,0.012615875,0.012874935,2724.01001,19.83984947
5/31/2018 0:00,-0.006903333,-0.003263893,2705.27002,19.77519989
6/1/2018 0:00,0.0107908,0.006466954,2734.620117,19.9034996
6/4/2018 0:00,0.004469595,0.001953498,2746.870117,19.94241905
6/5/2018 0:00,0.000702346,0.006043731,2748.800049,20.06331062
6/6/2018 0:00,0.008530901,0.016343028,2772.350098,20.39389992
6/7/2018 0:00,-0.000714444,-0.004930263,2770.370117,20.29360008
6/8/2018 0:00,0.003121029,0.006096593,2779.030029,20.41769981
6/11/2018 0:00,0.001068137,-0.00451115,2782,20.32579994
6/12/2018 0:00,0.001741867,0.01152941,2786.850098,20.56150055
6/13/2018 0:00,-0.004034255,0.006336382,2775.629883,20.69219971
6/14/2018 0:00,0.002468501,-0.00183324,2782.48999,20.65430069
6/15/2018 0:00,-0.00101762,0.00888348,2779.659912,20.83860016
6/18/2018 0:00,-0.002128391,-0.00750367,2773.75,20.68281937
6/19/2018 0:00,-0.004031518,-0.006457042,2762.590088,20.54969978
6/20/2018 0:00,0.00171069,-0.00191422,2767.320068,20.51040077
6/21/2018 0:00,-0.006365729,-0.007384435,2749.76001,20.35950089
6/22/2018 0:00,0.001860203,-0.00241949,2754.879883,20.31030083
6/25/2018 0:00,-0.013819723,-0.013872055,2717.070068,20.03050041
6/26/2018 0:00,0.002202151,-0.006244993,2723.060059,19.90579987
6/27/2018 0:00,-0.008641586,0.000843137,2699.629883,19.92259026
6/28/2018 0:00,0.00615968,0.011585757,2716.310059,20.15475082
6/29/2018 0:00,0.000758116,-0.021335216,2718.370117,19.72929955
7/2/2018 0:00,0.003063261,0.003289204,2726.709961,19.79430008
7/3/2018 0:00,-0.004959629,0.008536665,2713.219971,19.9640007
7/5/2018 0:00,0.008583857,-0.027426389,2736.610107,19.4239006
7/6/2018 0:00,0.008445518,-0.008861861,2759.820068,19.25252914
7/9/2018 0:00,0.008784291,-0.009992827,2784.169922,19.06110001
7/10/2018 0:00,0.003467249,0.006098539,2793.840088,19.17770004
7/11/2018 0:00,-0.007119486,-0.008683052,2774.02002,19.01189995
7/12/2018 0:00,0.008710992,0.002453319,2798.290039,19.05859947
7/13/2018 0:00,0.001078656,-0.004675956,2801.310059,18.96969032
7/16/2018 0:00,-0.001028665,-0.003574196,2798.429932,18.90200996
7/17/2018 0:00,0.003965824,-0.003657604,2809.550049,18.83300018
7/18/2018 0:00,0.002158182,0.002746703,2815.620117,18.88479996
7/19/2018 0:00,-0.003960827,0.00024358,2804.48999,18.88940048
7/20/2018 0:00,-0.000948898,0.007706294,2801.830078,19.03553009
7/23/2018 0:00,0.001836362,-0.000760402,2806.97998,19.02106094
7/24/2018 0:00,0.004769519,-0.006257987,2820.399902,18.90239906
7/25/2018 0:00,0.009060435,-0.002526624,2846.070068,18.85470009
7/26/2018 0:00,-0.003036903,-0.010637348,2837.439941,18.65519905
7/27/2018 0:00,-0.006583835,-0.001222848,2818.820068,18.63240051
7/30/2018 0:00,-0.005770789,-0.001380249,2802.600098,18.6067009
7/31/2018 0:00,0.004872837,-0.004099411,2816.290039,18.53058052
8/1/2018 0:00,-0.001040893,0.007221866,2813.360107,18.66489029
8/2/2018 0:00,0.00491435,-0.004015089,2827.219971,18.59009933
8/3/2018 0:00,0.004633432,0.002358766,2840.350098,18.63400078
8/6/2018 0:00,0.003531983,-0.003513274,2850.399902,18.56864929
8/7/2018 0:00,0.002820202,-0.00226762,2858.449951,18.52659035
8/8/2018 0:00,-0.000262414,-0.004505842,2857.699951,18.44330025
8/9/2018 0:00,-0.001442715,0.000775016,2853.580078,18.45759964
8/10/2018 0:00,-0.007139312,0.014196427,2833.280029,18.7215004
8/13/2018 0:00,-0.004014038,0.018323157,2821.929932,19.06769943
8/14/2018 0:00,0.00636893,0.003298556,2839.959961,19.13069916
8/15/2018 0:00,-0.007631209,-0.013201721,2818.370117,18.8798008
8/16/2018 0:00,0.007888215,0.015983989,2840.689941,19.18400002
8/17/2018 0:00,0.003317606,-0.009242977,2850.129883,19.00749969
8/20/2018 0:00,0.002425075,-0.006825777,2857.050049,18.87820053
8/21/2018 0:00,0.0020664,0.006617434,2862.959961,19.00354004
8/22/2018 0:00,-0.000398231,-0.003150191,2861.820068,18.94376945
8/23/2018 0:00,-0.001692694,-0.009356471,2856.97998,18.76734924
8/24/2018 0:00,0.006179706,0.012646666,2874.689941,19.00620079
8/27/2018 0:00,0.007641141,-0.012633352,2896.73999,18.76759911
8/28/2018 0:00,0.000269242,0.001732913,2897.52002,18.80014992
8/29/2018 0:00,0.005685242,0.014039198,2914.040039,19.06595039
8/30/2018 0:00,-0.004440172,-0.00735155,2901.129883,18.92630005
8/31/2018 0:00,0.000134468,0.009127475,2901.52002,19.09984016
9/4/2018 0:00,-0.001655692,0.00442795,2896.719971,19.18460083
9/5/2018 0:00,-0.002807063,0.009519425,2888.600098,19.36809921
9/6/2018 0:00,-0.003658991,-0.001612118,2878.050049,19.33690071
9/7/2018 0:00,-0.002215798,-0.005412077,2871.679932,19.23253059
9/10/2018 0:00,0.001896028,0.004221897,2877.129883,19.31389999
9/11/2018 0:00,0.003732866,-0.002498763,2887.889893,19.26569939
9/12/2018 0:00,0.000356608,-0.003321195,2888.919922,19.20182037
9/13/2018 0:00,0.005268352,-0.009140827,2904.179932,19.02709961
9/14/2018 0:00,0.000275444,-0.010407652,2904.97998,18.83009911
9/17/2018 0:00,-0.005585291,0.002381689,2888.800049,18.875
9/18/2018 0:00,0.005354653,0.002356977,2904.310059,18.91954041
9/19/2018 0:00,0.001252488,-0.00696096,2907.949951,18.78829956
9/20/2018 0:00,0.007810014,-0.001736651,2930.75,18.75569916
9/21/2018 0:00,-0.000368601,0.004266928,2929.669922,18.83589935
9/24/2018 0:00,-0.003521882,0.000438973,2919.370117,18.84416962
