Date,Precio_S&500,LogRend_S&500,Precio_USD/MXN,LogRend_USD/MXN
2018-01-03 00:00:00,2713.060059,0.006378433,19.35110092,-0.007531825
2018-01-04 00:00:00,2723.98999,0.004020543,19.3069706,-0.002283112
2018-01-05 00:00:00,2743.149902,0.007009146,19.17399979,-0.006911018
2018-01-08 00:00:00,2747.709961,0.001660964,19.1921196,0.000944574
2018-01-09 00:00:00,2751.290039,0.001302084,19.2446804,0.002734923
2018-01-10 00:00:00,2748.22998,-0.001112846,19.26300049,0.000951503
2018-01-11 00:00:00,2767.560059,0.007009026,19.21537018,-0.002475694
2018-01-12 00:00:00,2786.23999,0.006726926,19.03300095,-0.009536124
2018-01-16 00:00:00,2776.419922,-0.003530713,18.75250053,-0.014847259
2018-01-17 00:00:00,2802.560059,0.009371006,18.71685028,-0.001902903
2018-01-18 00:00:00,2798.030029,-0.001617697,18.58690071,-0.006967133
2018-01-19 00:00:00,2810.300049,0.004375648,18.62054062,0.001808236
2018-01-22 00:00:00,2832.969971,0.008034364,18.70778084,0.004674219
2018-01-23 00:00:00,2839.129883,0.002172005,18.67329979,-0.00184484
2018-01-24 00:00:00,2837.540039,-0.000560133,18.53503036,-0.00743221
2018-01-25 00:00:00,2839.25,0.000602439,18.6094799,0.004008648
2018-01-26 00:00:00,2872.870117,0.011771638,18.47649956,-0.007171493
2018-01-29 00:00:00,2853.530029,-0.006754736,18.5977993,0.006543626
2018-01-30 00:00:00,2822.429932,-0.010958643,18.76597977,0.009002387
2018-01-31 00:00:00,2823.810059,0.000488866,18.58709908,-0.009577902
2018-02-01 00:00:00,2821.97998,-0.000648298,18.33300972,-0.013764497
2018-02-02 00:00:00,2762.129883,-0.021436681,18.57659912,0.013199432
2018-02-05 00:00:00,2648.939941,-0.041842541,18.81592941,0.012801143
2018-02-06 00:00:00,2695.139893,0.017290573,18.62129974,-0.010397747
2018-02-07 00:00:00,2681.659912,-0.005014138,18.77799988,0.008379892
2018-02-08 00:00:00,2581,-0.038259052,18.86910057,0.004839728
2018-02-09 00:00:00,2619.550049,0.014825645,18.68969917,-0.009553168
2018-02-12 00:00:00,2656,0.013818666,18.58810043,-0.005450911
2018-02-13 00:00:00,2662.939941,0.002609522,18.63430023,0.002482367
2018-02-14 00:00:00,2698.629883,0.01331344,18.55509949,-0.004259325
2018-02-15 00:00:00,2731.199951,0.011996862,18.50271988,-0.002826914
2018-02-16 00:00:00,2732.219971,0.0003734,18.50510025,0.000128642
2018-02-20 00:00:00,2716.26001,-0.005858517,18.70339966,0.010658924
2018-02-21 00:00:00,2701.330078,-0.005511664,18.83810043,0.007176131
2018-02-22 00:00:00,2703.959961,0.000973077,18.60390091,-0.012510153
2018-02-23 00:00:00,2747.300049,0.015901278,18.52009964,-0.004514676
2018-02-26 00:00:00,2779.600098,0.011688439,18.66379929,0.007729171
